SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,8.3,49.8,233.26,balsam fir 
12,11.1,58.4,521.61,balsam fir 
12,8.6,63.6,303.79,balsam fir 
12,9.5,56.4,376.04,balsam fir 
12,8.6,51.8,285.41,balsam fir 
12,9.3,59.1,347.69,balsam fir 
12,9.0,54.0,338.57,balsam fir 
12,7.4,61.5,228.1,balsam fir 
12,15.3,65.0,1070.75,balsam fir 
12,11.1,66.3,582.38,balsam fir 
12,9.1,59.3,356.18,balsam fir 
12,7.7,43.2,179.41,balsam fir 
12,11.2,52.5,549.52,balsam fir 
12,13.9,68.6,912.63,balsam fir 
12,8.0,50.0,248.0,balsam fir 
12,11.9,55.0,568.65,balsam fir 
12,13.8,70.0,930.21,balsam fir 
12,8.5,41.2,235.99,balsam fir 
12,5.6,55.2,101.79,balsam fir 
12,7.3,58.3,219.06,balsam fir 
12,6.9,55.0,180.0,balsam fir 
12,4.4,30.0,44.39,balsam fir 
12,7.3,51.9,189.59,balsam fir 
12,6.9,54.1,179.19,balsam fir 
12,10.2,51.4,419.92,balsam fir 
12,9.9,42.2,334.75,balsam fir 
12,5.8,37.0,94.52,balsam fir 
12,6.2,29.4,101.13,balsam fir 
12,8.7,43.6,254.12,balsam fir 
12,6.5,43.1,98.24,balsam fir 
12,9.3,51.7,271.31,balsam fir 
12,9.5,65.9,314.86,balsam fir 
12,9.6,57.1,313.82,balsam fir 
12,9.7,53.1,297.4,balsam fir 
12,9.9,53.0,303.72,balsam fir 
12,10.2,52.8,357.11,balsam fir 
12,10.5,54.7,334.2,balsam fir 
12,10.8,58.3,362.01,balsam fir 
12,10.9,64.9,432.54,balsam fir 
12,11.9,67.1,488.46,balsam fir 
12,12.9,58.5,590.88,balsam fir 
12,14.5,62.1,690.09,balsam fir 
12,6.7,51.7,144.08,balsam fir 
12,6.8,46.1,121.75,balsam fir 
12,6.8,48.2,125.33,balsam fir 
12,7.0,47.0,136.45,balsam fir 
12,7.1,43.9,136.86,balsam fir 
12,7.1,41.6,133.29,balsam fir 
